distance_km,duration_min,time_of_day,traffic_level,weather,demand_level,,day_of_week,ride_price
17.48,25.5,Evening,Low,Clear,Medium,Premium,Weekday,109.92
42.83,82,Night,Medium,Stormy,High,Premium,Weekend,661.47
33.21,86.1,Evening,High,Rainy,High,Standard,Weekday,281.85
27.34,51.9,Afternoon,Medium,Stormy,Low,Economy,Weekday,86.35
7.86,17.4,Evening,Medium,Stormy,Low,Premium,Weekday,76.47
7.86,22.5,Evening,High,Clear,Medium,Premium,Weekday,70.1
3.56,10.3,Evening,Medium,Rainy,Medium,Premium,Weekend,46.47
39.11,75.1,Night,Medium,Clear,High,Economy,Weekend,161.94
27.45,71,Night,High,Rainy,High,Standard,,235.22
32.16,60.2,Evening,Medium,Rainy,Low,Economy,Weekend,80.01
1.91,7.5,Night,High,rainy,High,Standard,Weekday,33.45
43.68,82.8,Morning,Medium,Rainy,Medium,Premium,Weekday,335.76
37.63,97.9,Morning,High,Rainy,Medium,Premium,Weekend,331.18
10.34,28.2,Night,High,Stormy,Low,Economy,Weekend,41.53
9,21,Night,Medium,Clear,Medium,Economy,Weekend,29
9.07,20.7,Evening,Medium,Stormy,Medium,Standard,Weekday,65.15
14.39,28,Afternoon,Medium,Rainy,Medium,Standard,Weekend,73.05
24.09,32.9,Night,Low,Clear,Medium,Economy,Weekend,57.58
20.01,28.3,Morning,Low,Rainy,Low,Standard,Weekend,70.8
13.81,19.7,Evening,Low,Clear,Low,Economy,Weekday,28.45
27.92,72,Night,High,Stormy,High,Standard,Weekday,298.37
7.14,15.1,Morning,Medium,Clear,Medium,Economy,Weekday,23.26
13.85,36.9,Morning,High,Clear,High,Economy,Weekday,70.76
17.12,25.1,Afternoon,Low,Clear,Low,Economy,Weekday,34.58
21.07,42.7,Evening,Medium,Clear,Low,Standard,Weekday,69.55
35.55,91.2,Evening,HIGH,Clear,Low,Standard,Weekday,124.71
9.79,20.3,Afternoon,Medium,Rainy,Low,Standard,Weekday,42.96
23.63,61.6,Afternoon,High,Clear,Low,Economy,Weekend,57
27.07,51.3,Evening,Medium,rainy,Low,Standard,Weekend,85.51
3.04,8.2,Evening,Low,Stormy,Low,Standard,Weekday,24.59
27.73,36.3,Night,Low,Clear,Medium,Economy,Weekday,64.74
8.5,18.2,Night,Medium,Stormy,High,Premium,Weekend,161.1
3.86,12.3,Afternoon,High,Rainy,Low,Economy,Weekday,16.26
42.75,55.1,Night,Low,Clear,Medium,Standard,Weekday,145.01
43.49,55.3,Morning,Low,Stormy,Medium,Economy,Weekday,146.83
36.57,48.1,Night,HIGH,Stormy,High,Premium,Weekend,503.43
14.4,28.5,Night,Medium,Rainy,Low,Economy,Weekend,39.22
5.3,13.9,Morning,Medium,Clear,High,Standard,Weekend,47.76
31.11,81.6,Afternoon,High,Clear,Low,Premium,Weekend,184.93
